Player,Position,General_Position,Games_Played,Games_Started,Games_Missed,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,AST,STL,BLK,TOV,PTS,Season
Denzel Valentine,SG,G,52,3,7,17.61,2.7,7.0,0.379,1.3,4.1,0.321,0.2,0.3,0.929,3.4,1.6,0.5,0.1,0.7,6.9,2020-2021
Jarred Vanderbilt,PF,F,52,25,8,17.29,2.1,3.5,0.597,0.0,0.1,0.25,1.0,1.8,0.565,5.4,1.3,0.9,0.8,0.9,5.2,2020-2021
Fred VanVleet,SG,G,46,46,13,36.07,6.4,16.3,0.391,3.3,9.0,0.369,3.4,3.8,0.886,4.1,6.1,1.7,0.8,1.9,19.4,2020-2021
Devin Vassell,SF,F,48,1,10,16.31,1.8,4.4,0.406,0.9,2.2,0.393,0.6,0.7,0.879,2.6,0.9,0.8,0.3,0.4,5.1,2020-2021
Gabe Vincent,PG,G,41,6,19,13.19,1.8,4.8,0.378,0.9,3.1,0.294,0.5,0.6,0.87,1.1,1.3,0.4,0.0,0.7,5.0,2020-2021
Noah Vonleh,PF,F,4,0,4,2.69,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.5,0.0,2020-2021
Nikola Vucevic,C,C,60,60,0,33.38,9.7,19.9,0.487,2.6,6.2,0.414,2.0,2.4,0.837,11.3,3.7,1.0,0.7,1.8,23.9,2020-2021
Dean Wade,PF,F,50,13,9,16.98,1.9,4.4,0.429,1.1,3.0,0.365,0.3,0.4,0.762,3.0,1.1,0.5,0.4,0.4,5.2,2020-2021
Moritz Wagner,C,C,34,14,21,12.83,1.9,4.0,0.485,0.4,1.4,0.312,1.2,1.6,0.778,2.7,1.1,0.6,0.3,0.9,5.6,2020-2021
Kemba Walker,PG,G,38,38,22,31.52,6.2,15.3,0.409,2.8,8.1,0.349,2.9,3.1,0.932,3.9,5.0,1.1,0.3,2.1,18.2,2020-2021
Lonnie Walker,SG,G,46,31,12,25.16,4.2,9.9,0.418,1.7,4.6,0.362,1.1,1.4,0.794,2.6,1.7,0.5,0.3,1.1,11.0,2020-2021
John Wall,PG,G,40,40,20,32.2,7.3,18.2,0.404,2.0,6.2,0.317,4.0,5.3,0.749,3.2,6.9,1.0,0.8,3.5,20.6,2020-2021
Brad Wanamaker,PG,G,52,0,9,16.66,1.8,4.8,0.371,0.3,1.5,0.2,1.4,1.6,0.881,1.7,2.8,0.7,0.2,1.2,5.3,2020-2021
T.J. Warren,SF,F,4,4,54,29.35,6.8,12.8,0.529,0.0,1.8,0.0,2.0,2.5,0.8,3.5,1.2,0.5,0.0,1.0,15.5,2020-2021
P.J. Washington,PF,F,52,49,7,29.48,4.4,10.1,0.433,1.6,4.1,0.392,1.8,2.4,0.766,6.2,2.6,1.0,1.3,2.1,12.2,2020-2021
Yuta Watanabe,SF,F,40,1,19,13.37,1.4,3.2,0.45,0.6,1.6,0.397,0.5,0.6,0.826,3.2,0.7,0.5,0.4,0.4,4.0,2020-2021
Tremont Waters,PG,G,17,1,43,7.29,0.9,2.4,0.366,0.4,1.1,0.389,0.8,0.8,0.929,0.6,2.1,0.6,0.0,0.8,2.9,2020-2021
Paul Watson,SF,F,27,2,32,10.99,1.4,3.0,0.463,1.1,2.4,0.469,0.2,0.3,0.625,1.7,0.6,0.2,0.1,0.3,4.1,2020-2021
Quinndary Weatherspoon,SG,G,17,0,41,4.47,0.4,0.9,0.375,0.0,0.1,0.0,0.4,0.5,0.875,0.4,0.3,0.4,0.1,0.5,1.1,2020-2021
Russell Westbrook,PG,G,52,52,7,35.62,8.3,18.9,0.44,1.3,4.1,0.318,3.9,6.3,0.625,11.1,10.9,1.3,0.3,5.0,21.9,2020-2021
Coby White,PG,G,56,41,3,30.57,5.2,12.7,0.412,2.1,6.1,0.347,1.9,2.1,0.913,4.1,4.5,0.5,0.2,2.1,14.5,2020-2021
Derrick White,SG,G,34,30,24,29.61,5.1,12.6,0.407,2.4,6.8,0.346,2.7,3.2,0.852,2.9,3.6,0.7,1.0,1.3,15.4,2020-2021
Hassan Whiteside,C,C,36,4,23,15.16,3.5,6.2,0.562,0.0,0.0,0.0,1.1,2.2,0.519,6.0,0.6,0.2,1.3,1.1,8.1,2020-2021
Greg Whittington,PF,F,4,0,47,3.0,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-2021
Andrew Wiggins,PF,F,60,60,0,32.96,6.8,14.5,0.472,2.0,5.2,0.381,2.4,3.5,0.697,4.8,2.3,1.0,1.0,1.8,18.1,2020-2021
